,Topik 1,Topik 2,Topik 3,Total Proporsi Kata
asdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjgh,0.6336678721002861,0.13581750427232414,0.23051462362738978,1.0
ase,0.014305939452601904,0.018518599911383535,0.9671754606360146,1.0
asesori,0.8218332423520595,0.06605531778699912,0.11211143986094134,0.9999999999999999
aset,0.964820256923312,0.013238059741186067,0.021941683335501894,1.0
asi,0.9499680309313181,0.018613327476093317,0.03141864159258862,1.0
asia,0.0460470850509557,0.35351745947741375,0.6004354554716305,0.9999999999999999
asimetri,0.05801785995981422,0.8157691563020774,0.12621298373810855,1.0000000000000002
asimilasi,0.06501129864219739,0.08360798846645533,0.8513807128913473,1.0
asisten,0.020249684311145866,0.9356369488306447,0.04411336685820928,0.9999999999999999
asli,0.5912871528814915,0.18803252658685604,0.22068032053165246,0.9999999999999999
aslinya,0.11238531230297333,0.11544583458733752,0.7721688531096892,1.0
asma,0.05770753011210976,0.8163365194922938,0.12595595039559657,1.0
asmail,0.057707529906337256,0.8163365207391389,0.1259559493545239,1.0
asmart,0.03803751577356199,0.04921338948084069,0.9127490947455973,1.0
asmaul,0.855815736461551,0.05503167166490316,0.08915259187354593,1.0
asosiasi,0.6277462883895961,0.14207029759747372,0.23018341401293013,1.0
asosiatif,0.09175393315479756,0.7079783749141219,0.20026769193108063,1.0
aspal,0.057661502362822,0.814541451566733,0.12779704607044504,1.0
aspek,0.04744692447466522,0.7023123758379232,0.2502406996874117,1.0
aspekaspek,0.05951184375870348,0.8144682614054561,0.12601989483584028,0.9999999999999999
aspirasi,0.6291099291600861,0.14063054213165474,0.23025952870825914,1.0
asrama,0.027223610828147858,0.9563282006421715,0.01644818852968066,1.0
asset,0.2452422584460851,0.012600860435888591,0.7421568811180264,1.0
assimilasi,0.09211970524334534,0.707592188141084,0.2002881066155706,1.0
associ,0.9412303217031914,0.02205032705611889,0.03671935124068971,1.0
assosi,0.7593367440566353,0.0888310461144098,0.15183220982895487,1.0
